Species,CommonName,Description
Corydoras flaveolus,,"A small armored catfish from Brazil, living in streams and floodplain habitats. It feeds on insect larvae, worms, and detritus along the substrate. Popular in aquariums, it is peaceful and hardy."
Cottus spinulosus,Turkestan sculpin,"A freshwater sculpin found in European streams with rocky substrates. It is benthic, feeding on insect larvae and small crustaceans. Its sensitivity to pollution makes it an indicator of water quality."
Craterocephalus nouhuysi,Mountain hardyhead,"A hardy rainbowfish from New Guinea, inhabiting rivers and lagoons. It is omnivorous, feeding on algae and small invertebrates. It adapts well to different habitats but is locally threatened by habitat alteration."
Craterocephalus randi,Kubuna hardyhead,"Native to New Guinea, this species lives in freshwater streams and lagoons. It consumes algae, detritus, and small aquatic invertebrates. It plays an important role in local food webs and is popular in the aquarium trade."
Crenicichla haroldoi,,"A South American pike cichlid inhabiting rivers with rocky or sandy bottoms. It is predatory, feeding on smaller fish and crustaceans. Its elongated body and ambush behavior make it a top mid-level predator."
Crenicichla tesay,,"Another South American pike cichlid adapted to riverine habitats. It is piscivorous and territorial, often hiding among submerged logs. It has ecological importance in regulating smaller fish populations."
Cryptoheros chetumalensis,,"A small cichlid from Central America, inhabiting streams and lagoons. It exhibits biparental care and is aggressive when guarding offspring. Its adaptability makes it popular in aquaria."
Deuterodon heterostomus,,"A small characin endemic to Brazilian streams. It feeds on insects, algae, and organic detritus. Though not commercially important, it plays a role in nutrient cycling."
Dionda episcopa,Roundnose minnow,"A small cyprinid from the Rio Grande basin in the U.S. and Mexico. It inhabits clear streams with gravel beds, feeding on algae and detritus. Its populations are declining due to habitat fragmentation."
Distichodus engycephalus,Perch,"A large African characin found in river systems across Central Africa. It is herbivorous, feeding on aquatic vegetation and algae. It is targeted by local fisheries for food."
Distichodus rostratus,Grass-eater,"Another large African characin, distributed across the Congo Basin. It has an elongated snout adapted for browsing aquatic plants. It is an important food fish but faces pressure from overfishing."
Engraulicypris brevianalis,River sardine,"A small cyprinid found in southern African rivers and lakes. It feeds on plankton and forms schools, serving as prey for larger fishes. It is important in maintaining aquatic food chains."
Enteromius apleurogramma,East African red finned barb,A small barb widely distributed in African streams and rivers. It feeds on aquatic insects and algae. It is ecologically significant as prey for larger fish and aquatic birds.
Enteromius bawkuensis,,"Endemic to Ghana, this barb inhabits rivers with rocky and sandy substrates. It feeds on insect larvae and organic matter. It is considered vulnerable due to habitat disturbance and pollution."
Enteromius cercops,Luambwa barb,"A small cyprinid from African rivers, recognizable by its distinctive coloration. It grazes on algae and small invertebrates, playing a role in nutrient cycling. Populations are stable but localized."
Enteromius jacksoni,Jackson's barb,"Found in East African streams, it prefers clear, well-oxygenated waters. It feeds on aquatic insects and small crustaceans. It is ecologically important in supporting local food webs."
Enteromius magdalenae,Bunjako barb,"A Colombian barb inhabiting rivers and streams of the Magdalena Basin. It feeds on insects, algae, and detritus. It is locally significant in small-scale fisheries."
Enteromius neumayeri,Neumayer's barb,"A widespread African species living in rivers, lakes, and streams. It is omnivorous and adapts to a wide range of habitats. Its broad distribution makes it ecologically resilient."
Enteromius nyanzae,Nyanza barb,"Endemic to Lake Victoria, this small barb lives in shallow nearshore waters. It feeds on algae, insect larvae, and plankton. Its restricted range makes it sensitive to habitat changes."
Enteromius pallidus,Goldie barb,"A southern African species inhabiting rivers with clear, rocky substrates. It is omnivorous and provides food for predatory fish. It is relatively common and not currently threatened."
Enteromius profundus,,"A deep-water barb from Lake Victoria, feeding on zooplankton and insect larvae. It has declined in numbers due to Nile perch introduction but persists in refugia."
Epiplatys togolensis,,"A killifish from West Africa, living in small streams and swamps. It feeds on insects at the water surface and displays striking coloration. It is occasionally kept in aquaria."
Fonchiiichthys uracanthus,,"A rare catfish from South America inhabiting deep rivers. It has specialized adaptations for benthic living, feeding on detritus and small organisms. Its biology remains poorly studied."
Geophagus crassilabris,Panamanian eartheater,"A South American cichlid inhabiting rivers and floodplains. It is a substrate-sifter, taking in sand and filtering out edible material. It is valued in aquariums for its striking appearance."
Girardinus denticulatus,Toothy topminnow,"A poeciliid fish from Cuba, living in freshwater streams and ponds. It feeds on algae, detritus, and small invertebrates. Its adaptability makes it a resilient species in disturbed habitats."
Girardinus metallicus,Metallic livebearer,"A small poeciliid fish endemic to Cuba, commonly found in shallow freshwater ponds, ditches, and streams. It is livebearing and feeds on algae, detritus, and small aquatic invertebrates. Its metallic sheen gives it ornamental appeal, though it is mostly studied for ecology and evolutionary biology."
Girardinus microdactylus,Smallfinger topminnow,"Another Cuban poeciliid inhabiting slow-flowing rivers and wetlands. It has a preference for vegetated habitats where it grazes on algae and microorganisms. As a livebearer, it is studied for reproductive strategies and population dynamics."
Glossogobius clitellus,,"A goby from Papua New Guinea found in shallow rivers with sandy or muddy bottoms. It preys on aquatic invertebrates and small fish, contributing to benthic food webs. Its limited range makes it sensitive to habitat disturbances."
Glossogobius muscorum,,"Native to freshwater habitats in New Guinea, this goby prefers vegetated stream margins. It is carnivorous, feeding on insect larvae and small crustaceans. Its biology is not well-documented but it is considered ecologically important in stream systems."
Gobio alverniae,Auvergne gudgeon,"A European gudgeon species restricted to central Italy. It inhabits clear, stony rivers and streams, feeding on benthic invertebrates. Its limited range and habitat sensitivity place it at some conservation risk."
Gobio carpathicus,Carpathian gudgeon,"Distributed across Central and Eastern Europe, this gudgeon inhabits cool rivers with rocky bottoms. It feeds on insect larvae and detritus and is an important prey for larger fish. Its presence indicates good water quality."
Gymnodiptychus dybowskii,Naked osman,"A cyprinid native to Central Asia, found in cold, fast-flowing rivers and high-altitude lakes. It feeds on algae, periphyton, and small benthic invertebrates. It is well adapted to harsh mountain environments but threatened by climate change."
Gymnogobius castaneus,Biringo,"A goby species from East Asia inhabiting rivers, estuaries, and coastal waters. It feeds on small crustaceans and insects and tolerates a wide range of salinities. It contributes to estuarine and freshwater food webs."
